Age Group,Gender,Education,Work Experience,Platform,Preferred Work Schedule,Work Type,Delivery Preference,Income Consistency (1-5),Biggest Expense,Main Challenge,Mental Exhaustion,Would Use Health Checkup,Fair Rating System,Unfair Penalty Experience,Would Change Job?,Support Needed,Daily Work Hours,Skill Learned,Motivation for Joining,Vehicle Type,Support for Gig Workers Union
35-44,Male,Undergraduate,More than 3 years,Swiggy,Evenings/Nights,Full-time,Short-distance,3,Vehicle maintenance,Finding locations,Always,Yes,Yes,Rarely,"Yes, if better pay",Accident coverage,4-8 hours,Time management,Side job for extra income,Bike/Scooter,Yes
18-24,Other,High School,6 months to 1 year,Swiggy,Afternoons,Part-time,Long-distance,1,Other,Delays at restaurants,Sometimes,No,No,No,"Yes, if better pay",Accident coverage,8-12 hours,Navigation,Financial need,Bicycle,Yes
18-24,Female,High School,More than 3 years,Zomato,Evenings/Nights,Part-time,No preference,2,Other,Finding locations,Sometimes,Yes,No,Rarely,"Yes, if better pay",Health insurance,More than 12 hours,Patience,Other,Bicycle,Yes
35-44,Male,High School,More than 3 years,Multiple,No fixed schedule,Full-time,Long-distance,2,Mobile recharge,Finding locations,Always,No,Yes,Rarely,"No, I enjoy delivery",Health insurance,8-12 hours,Patience,Financial need,Bicycle,No
25-34,Male,High School,1 to 3 years,Dunzo,Evenings/Nights,Full-time,No preference,3,Vehicle maintenance,Low ratings,Frequently,Yes,Yes,Frequently,"No, I enjoy delivery",24/7 support,4-8 hours,Time management,Other,Bicycle,No
25-34,Other,High School,More than 3 years,Uber Eats,No fixed schedule,Full-time,Short-distance,1,Other,Finding locations,Frequently,Yes,No,Rarely,"Yes, if better pay",24/7 support,More than 12 hours,Time management,Financial need,Public transport,Yes
18-24,Female,High School,1 to 3 years,Uber Eats,Afternoons,Part-time,No preference,3,Other,Order cancellations,Always,No,Yes,Frequently,"Yes, if better pay",More incentives,8-12 hours,Navigation,Side job for extra income,Bike/Scooter,Yes
18-24,Other,Diploma,1 to 3 years,Uber Eats,No fixed schedule,Full-time,Long-distance,2,Other,Low ratings,Never,No,Yes,No,"Yes, immediately",24/7 support,4-8 hours,Navigation,Side job for extra income,Bicycle,Yes
18-24,Other,Undergraduate,6 months to 1 year,Uber Eats,Evenings/Nights,Part-time,Short-distance,3,Other,Order cancellations,Sometimes,No,Yes,No,"Yes, if better pay",Accident coverage,4-8 hours,Navigation,Other,Bicycle,Yes
35-44,Male,High School,More than 3 years,Dunzo,Evenings/Nights,Full-time,Long-distance,5,Mobile recharge,Order cancellations,Never,No,Yes,Rarely,"No, I enjoy delivery",Health insurance,4-8 hours,Customer service,Financial need,Public transport,Yes
18-24,Male,No Formal Education,6 months to 1 year,Dunzo,Afternoons,Part-time,Long-distance,2,Mobile recharge,Low ratings,Never,No,No,Frequently,"Yes, if better pay",24/7 support,4-8 hours,Navigation,Flexibility in work hours,Bicycle,Yes
25-34,Male,High School,6 months to 1 year,Multiple,Afternoons,Full-time,No preference,2,Other,Delays at restaurants,Frequently,No,No,No,"Yes, if better pay",Health insurance,More than 12 hours,Time management,Other,Bike/Scooter,Yes
18-24,Male,No Formal Education,More than 3 years,Zomato,Mornings,Part-time,No preference,2,Vehicle maintenance,Delays at restaurants,Frequently,Yes,Yes,Frequently,"No, I enjoy delivery",More incentives,4-8 hours,Navigation,Side job for extra income,Bike/Scooter,No
18-24,Other,Undergraduate,Less than 6 months,Uber Eats,Afternoons,Part-time,Short-distance,4,Other,Finding locations,Never,No,No,Rarely,"Yes, immediately",Health insurance,8-12 hours,Navigation,Side job for extra income,Public transport,Yes
45 and above,Female,Diploma,1 to 3 years,Dunzo,Mornings,Part-time,No preference,3,Other,Low ratings,Frequently,Yes,No,No,"No, I enjoy delivery",More incentives,8-12 hours,Patience,Flexibility in work hours,Bicycle,Yes
18-24,Female,High School,1 to 3 years,Multiple,Afternoons,Part-time,Short-distance,2,Other,Finding locations,Always,No,No,No,"Yes, immediately",Accident coverage,More than 12 hours,Patience,Other,Public transport,No
18-24,Female,No Formal Education,More than 3 years,Dunzo,Mornings,Full-time,No preference,1,Mobile recharge,Finding locations,Frequently,Yes,Yes,No,"Yes, if better pay",24/7 support,More than 12 hours,Patience,Other,Car,No
18-24,Male,High School,More than 3 years,Uber Eats,No fixed schedule,Full-time,Long-distance,3,Other,Delays at restaurants,Sometimes,Yes,No,No,"No, I enjoy delivery",24/7 support,8-12 hours,Navigation,Financial need,Bicycle,No
35-44,Other,Postgraduate,1 to 3 years,Multiple,No fixed schedule,Full-time,Long-distance,4,Mobile recharge,Low ratings,Frequently,No,No,No,"No, I enjoy delivery",More incentives,4-8 hours,Patience,Flexibility in work hours,Public transport,No
25-34,Other,High School,More than 3 years,Zomato,Mornings,Part-time,Short-distance,5,Mobile recharge,Finding locations,Always,Yes,No,No,"No, I enjoy delivery",24/7 support,4-8 hours,Navigation,Side job for extra income,Bike/Scooter,Yes
25-34,Male,No Formal Education,Less than 6 months,Multiple,Mornings,Part-time,No preference,1,Vehicle maintenance,Delays at restaurants,Frequently,No,Yes,Rarely,"No, I enjoy delivery",24/7 support,More than 12 hours,Navigation,Flexibility in work hours,Public transport,No
25-34,Other,Undergraduate,More than 3 years,Multiple,No fixed schedule,Part-time,Short-distance,5,Mobile recharge,Low ratings,Frequently,Yes,Yes,Rarely,"Yes, immediately",Health insurance,4-8 hours,Navigation,Flexibility in work hours,Public transport,Yes
35-44,Female,No Formal Education,Less than 6 months,Zomato,No fixed schedule,Part-time,Long-distance,5,Other,Order cancellations,Never,No,Yes,Rarely,"No, I enjoy delivery",24/7 support,4-8 hours,Time management,Financial need,Bicycle,No
25-34,Other,Undergraduate,Less than 6 months,Swiggy,Evenings/Nights,Full-time,Short-distance,3,Mobile recharge,Order cancellations,Never,No,No,Rarely,"Yes, if better pay",24/7 support,4-8 hours,Time management,Flexibility in work hours,Bicycle,No
18-24,Other,High School,Less than 6 months,Dunzo,Mornings,Part-time,Short-distance,3,Fuel,Finding locations,Never,No,Yes,No,"Yes, immediately",More incentives,More than 12 hours,Time management,Other,Public transport,No
25-34,Male,High School,1 to 3 years,Multiple,Evenings/Nights,Part-time,Long-distance,2,Vehicle maintenance,Low ratings,Sometimes,Yes,Yes,Frequently,"Yes, immediately",24/7 support,4-8 hours,Patience,Other,Bicycle,No
18-24,Male,High School,More than 3 years,Multiple,No fixed schedule,Part-time,No preference,4,Other,Finding locations,Never,Yes,No,Frequently,"Yes, immediately",Health insurance,4-8 hours,Navigation,Flexibility in work hours,Public transport,Yes
